																	
													Clearing Screen	Calculating View	Drawing Screen	Swapping Buffers	Flushing
1	Clear:	0,00000800	View:	0,00000517	Draw:	0,00008284	SwapBuffers:	0,00507522	End:	0,00000244		1	0,0080	0,0052	0,0828	5,0752	0,0024
2	Clear:	0,00499202	View:	0,00000564	Draw:	0,00000676	SwapBuffers:	0,00024698	End:	0,00000141		2	4,9920	0,0056	0,0068	0,2470	0,0014
3	Clear:	0,01637770	View:	0,00001393	Draw:	0,00000520	SwapBuffers:	0,01272800	End:	0,00000147		3	16,3777	0,0139	0,0052	12,7280	0,0015
4	Clear:	0,00375553	View:	0,00000391	Draw:	0,00000467	SwapBuffers:	0,00632411	End:	0,00000158		4	3,7555	0,0039	0,0047	6,3241	0,0016
5	Clear:	0,01040990	View:	0,00001324	Draw:	0,00000485	SwapBuffers:	0,00024726	End:	0,00000275		5	10,4099	0,0132	0,0049	0,2473	0,0027
6	Clear:	0,01632400	View:	0,00001328	Draw:	0,00000459	SwapBuffers:	0,00023931	End:	0,00000260		6	16,3240	0,0133	0,0046	0,2393	0,0026
7	Clear:	0,01630340	View:	0,00000370	Draw:	0,00001782	SwapBuffers:	0,00025796	End:	0,00000143		7	16,3034	0,0037	0,0178	0,2580	0,0014
8	Clear:	0,01634840	View:	0,00001266	Draw:	0,00000431	SwapBuffers:	0,00032424	End:	0,00000138		8	16,3484	0,0127	0,0043	0,3242	0,0014
9	Clear:	0,01640240	View:	0,00000501	Draw:	0,00000522	SwapBuffers:	0,00022207	End:	0,00001106		9	16,4024	0,0050	0,0052	0,2221	0,0111
10	Clear:	0,01629710	View:	0,00001280	Draw:	0,00000471	SwapBuffers:	0,00039377	End:	0,00000250		10	16,2971	0,0128	0,0047	0,3938	0,0025
11	Clear:	0,01633680	View:	0,00000351	Draw:	0,00001945	SwapBuffers:	0,00029466	End:	0,00000134		11	16,3368	0,0035	0,0194	0,2947	0,0013
12	Clear:	0,01631040	View:	0,00001840	Draw:	0,00000465	SwapBuffers:	0,00028894	End:	0,00000163		12	16,3104	0,0184	0,0046	0,2889	0,0016
13	Clear:	0,01631640	View:	0,00001245	Draw:	0,00000451	SwapBuffers:	0,00030970	End:	0,00000139		13	16,3164	0,0124	0,0045	0,3097	0,0014
14	Clear:	0,01631330	View:	0,00001297	Draw:	0,00000430	SwapBuffers:	0,00030061	End:	0,00000125		14	16,3133	0,0130	0,0043	0,3006	0,0013
15	Clear:	0,01626770	View:	0,00001295	Draw:	0,00000449	SwapBuffers:	0,00029565	End:	0,00000152		15	16,2677	0,0130	0,0045	0,2957	0,0015
16	Clear:	0,01632760	View:	0,00000526	Draw:	0,00000497	SwapBuffers:	0,00028124	End:	0,00000157		16	16,3276	0,0053	0,0050	0,2812	0,0016
17	Clear:	0,01636140	View:	0,00000422	Draw:	0,00000489	SwapBuffers:	0,00036697	End:	0,00000136		17	16,3614	0,0042	0,0049	0,3670	0,0014
18	Clear:	0,01619540	View:	0,00000492	Draw:	0,00001396	SwapBuffers:	0,00034105	End:	0,00000255		18	16,1954	0,0049	0,0140	0,3410	0,0025
19	Clear:	0,01621490	View:	0,00001264	Draw:	0,00000454	SwapBuffers:	0,00028632	End:	0,00000264		19	16,2149	0,0126	0,0045	0,2863	0,0026
20	Clear:	0,01634480	View:	0,00000339	Draw:	0,00001322	SwapBuffers:	0,00033050	End:	0,00001079		20	16,3448	0,0034	0,0132	0,3305	0,0108
21	Clear:	0,01635450	View:	0,00001513	Draw:	0,00000516	SwapBuffers:	0,00032332	End:	0,00000158		21	16,3545	0,0151	0,0052	0,3233	0,0016
22	Clear:	0,01623380	View:	0,00000405	Draw:	0,00000483	SwapBuffers:	0,00032745	End:	0,00000139		22	16,2338	0,0040	0,0048	0,3275	0,0014
23	Clear:	0,01637710	View:	0,00000377	Draw:	0,00001865	SwapBuffers:	0,00030785	End:	0,00000137		23	16,3771	0,0038	0,0186	0,3078	0,0014
24	Clear:	0,01624460	View:	0,00000522	Draw:	0,00001491	SwapBuffers:	0,00033170	End:	0,00000162		24	16,2446	0,0052	0,0149	0,3317	0,0016
25	Clear:	0,01631100	View:	0,00000466	Draw:	0,00000544	SwapBuffers:	0,00026927	End:	0,00000131		25	16,3110	0,0047	0,0054	0,2693	0,0013
26	Clear:	0,01636420	View:	0,00001438	Draw:	0,00000521	SwapBuffers:	0,00049109	End:	0,00000159		26	16,3642	0,0144	0,0052	0,4911	0,0016
27	Clear:	0,01603020	View:	0,00001420	Draw:	0,00000529	SwapBuffers:	0,00021768	End:	0,00000122		27	16,0302	0,0142	0,0053	0,2177	0,0012
28	Clear:	0,01638880	View:	0,00000402	Draw:	0,00000489	SwapBuffers:	0,00039817	End:	0,00000283		28	16,3888	0,0040	0,0049	0,3982	0,0028
29	Clear:	0,01629250	View:	0,00000379	Draw:	0,00001684	SwapBuffers:	0,00030082	End:	0,00000264		29	16,2925	0,0038	0,0168	0,3008	0,0026
30	Clear:	0,01631750	View:	0,00000502	Draw:	0,00001704	SwapBuffers:	0,00032536	End:	0,00001208		30	16,3175	0,0050	0,0170	0,3254	0,0121
31	Clear:	0,01626650	View:	0,00001432	Draw:	0,00000487	SwapBuffers:	0,00032275	End:	0,00000277		31	16,2665	0,0143	0,0049	0,3228	0,0028
32	Clear:	0,01623580	View:	0,00000378	Draw:	0,00001317	SwapBuffers:	0,00023196	End:	0,00000143		32	16,2358	0,0038	0,0132	0,2320	0,0014
33	Clear:	0,01646310	View:	0,00000501	Draw:	0,00001452	SwapBuffers:	0,00022082	End:	0,00000147		33	16,4631	0,0050	0,0145	0,2208	0,0015
34	Clear:	0,01636020	View:	0,00000388	Draw:	0,00000440	SwapBuffers:	0,00022634	End:	0,00000173		34	16,3602	0,0039	0,0044	0,2263	0,0017
35	Clear:	0,01636400	View:	0,00000396	Draw:	0,00001675	SwapBuffers:	0,00026051	End:	0,00000145		35	16,3640	0,0040	0,0168	0,2605	0,0015
36	Clear:	0,01645030	View:	0,00001336	Draw:	0,00000437	SwapBuffers:	0,00031525	End:	0,00000169		36	16,4503	0,0134	0,0044	0,3152	0,0017
37	Clear:	0,01635240	View:	0,00001804	Draw:	0,00000453	SwapBuffers:	0,00031229	End:	0,00001228		37	16,3524	0,0180	0,0045	0,3123	0,0123
38	Clear:	0,01629770	View:	0,00001337	Draw:	0,00000414	SwapBuffers:	0,00022268	End:	0,00000139		38	16,2977	0,0134	0,0041	0,2227	0,0014
39	Clear:	0,01639890	View:	0,00001433	Draw:	0,00000495	SwapBuffers:	0,00029700	End:	0,00000179		39	16,3989	0,0143	0,0049	0,2970	0,0018
40	Clear:	0,01621860	View:	0,00000414	Draw:	0,00000508	SwapBuffers:	0,00038454	End:	0,00001199		40	16,2186	0,0041	0,0051	0,3845	0,0120
41	Clear:	0,01629010	View:	0,00000393	Draw:	0,00000474	SwapBuffers:	0,00033561	End:	0,00000165		41	16,2901	0,0039	0,0047	0,3356	0,0017
42	Clear:	0,01642310	View:	0,00000464	Draw:	0,00000507	SwapBuffers:	0,00034694	End:	0,00001228		42	16,4231	0,0046	0,0051	0,3469	0,0123
43	Clear:	0,01617390	View:	0,00001887	Draw:	0,00000475	SwapBuffers:	0,00027284	End:	0,00000156		43	16,1739	0,0189	0,0048	0,2728	0,0016
44	Clear:	0,01633940	View:	0,00001342	Draw:	0,00000451	SwapBuffers:	0,00024801	End:	0,00001117		44	16,3394	0,0134	0,0045	0,2480	0,0112
45	Clear:	0,01631310	View:	0,00000561	Draw:	0,00001524	SwapBuffers:	0,00035814	End:	0,00000151		45	16,3131	0,0056	0,0152	0,3581	0,0015
46	Clear:	0,01624440	View:	0,00000592	Draw:	0,00000549	SwapBuffers:	0,00037741	End:	0,00000180		46	16,2444	0,0059	0,0055	0,3774	0,0018
47	Clear:	0,01632050	View:	0,00000424	Draw:	0,00001352	SwapBuffers:	0,00032101	End:	0,00000172		47	16,3205	0,0042	0,0135	0,3210	0,0017
48	Clear:	0,01636730	View:	0,00000464	Draw:	0,00000508	SwapBuffers:	0,00033987	End:	0,00000179		48	16,3673	0,0046	0,0051	0,3399	0,0018
49	Clear:	0,01620820	View:	0,00000434	Draw:	0,00000513	SwapBuffers:	0,00029364	End:	0,00000149		49	16,2082	0,0043	0,0051	0,2936	0,0015
50	Clear:	0,01626840	View:	0,00000438	Draw:	0,00001365	SwapBuffers:	0,00022468	End:	0,00000148		50	16,2684	0,0044	0,0137	0,2247	0,0015
51	Clear:	0,01649750	View:	0,00000580	Draw:	0,00000574	SwapBuffers:	0,00028710	End:	0,00000146		51	16,4975	0,0058	0,0057	0,2871	0,0015
52	Clear:	0,01619780	View:	0,00000421	Draw:	0,00000503	SwapBuffers:	0,00036971	End:	0,00000160		52	16,1978	0,0042	0,0050	0,3697	0,0016
53	Clear:	0,01626010	View:	0,00000452	Draw:	0,00001420	SwapBuffers:	0,00027936	End:	0,00000159		53	16,2601	0,0045	0,0142	0,2794	0,0016
54	Clear:	0,01648080	View:	0,00000505	Draw:	0,00001385	SwapBuffers:	0,00035911	End:	0,00000184		54	16,4808	0,0051	0,0138	0,3591	0,0018
55	Clear:	0,01617480	View:	0,00000399	Draw:	0,00001422	SwapBuffers:	0,00030334	End:	0,00000162		55	16,1748	0,0040	0,0142	0,3033	0,0016
56	Clear:	0,01631430	View:	0,00000391	Draw:	0,00001397	SwapBuffers:	0,00027346	End:	0,00000149		56	16,3143	0,0039	0,0140	0,2735	0,0015
57	Clear:	0,01628800	View:	0,00000583	Draw:	0,00001523	SwapBuffers:	0,00031362	End:	0,00001103		57	16,2880	0,0058	0,0152	0,3136	0,0110
58	Clear:	0,01622980	View:	0,00000457	Draw:	0,00000501	SwapBuffers:	0,00032006	End:	0,00000174		58	16,2298	0,0046	0,0050	0,3201	0,0017
59	Clear:	0,01634440	View:	0,00000418	Draw:	0,00001627	SwapBuffers:	0,00029847	End:	0,00001306		59	16,3444	0,0042	0,0163	0,2985	0,0131
60	Clear:	0,01636460	View:	0,00000536	Draw:	0,00001393	SwapBuffers:	0,00023598	End:	0,00000127		60	16,3646	0,0054	0,0139	0,2360	0,0013
61	Clear:	0,01632830	View:	0,00001771	Draw:	0,00000495	SwapBuffers:	0,00031009	End:	0,00001177		61	16,3283	0,0177	0,0049	0,3101	0,0118
62	Clear:	0,01620990	View:	0,00000396	Draw:	0,00001412	SwapBuffers:	0,00024959	End:	0,00001082		62	16,2099	0,0040	0,0141	0,2496	0,0108
63	Clear:	0,01640170	View:	0,00001306	Draw:	0,00000478	SwapBuffers:	0,00028158	End:	0,00001169		63	16,4017	0,0131	0,0048	0,2816	0,0117
64	Clear:	0,01625620	View:	0,00000467	Draw:	0,00000511	SwapBuffers:	0,00034700	End:	0,00000168		64	16,2562	0,0047	0,0051	0,3470	0,0017
65	Clear:	0,01636190	View:	0,00000389	Draw:	0,00000486	SwapBuffers:	0,00028109	End:	0,00000164		65	16,3619	0,0039	0,0049	0,2811	0,0016
66	Clear:	0,01641780	View:	0,00000363	Draw:	0,00001956	SwapBuffers:	0,00031435	End:	0,00000146		66	16,4178	0,0036	0,0196	0,3144	0,0015
67	Clear:	0,01626960	View:	0,00000447	Draw:	0,00001390	SwapBuffers:	0,00030726	End:	0,00001094		67	16,2696	0,0045	0,0139	0,3073	0,0109
68	Clear:	0,01626870	View:	0,00000390	Draw:	0,00001333	SwapBuffers:	0,00026403	End:	0,00000150		68	16,2687	0,0039	0,0133	0,2640	0,0015
69	Clear:	0,01636350	View:	0,00001828	Draw:	0,00000412	SwapBuffers:	0,00025099	End:	0,00000149		69	16,3635	0,0183	0,0041	0,2510	0,0015
70	Clear:	0,01629800	View:	0,00000465	Draw:	0,00000505	SwapBuffers:	0,00033308	End:	0,00000175		70	16,2980	0,0047	0,0051	0,3331	0,0017
71	Clear:	0,01632240	View:	0,00000363	Draw:	0,00000471	SwapBuffers:	0,00032465	End:	0,00000168		71	16,3224	0,0036	0,0047	0,3246	0,0017
72	Clear:	0,01637570	View:	0,00000360	Draw:	0,00001426	SwapBuffers:	0,00027690	End:	0,00000142		72	16,3757	0,0036	0,0143	0,2769	0,0014
73	Clear:	0,01630210	View:	0,00001577	Draw:	0,00000442	SwapBuffers:	0,00030873	End:	0,00001077		73	16,3021	0,0158	0,0044	0,3087	0,0108
74	Clear:	0,01631460	View:	0,00001408	Draw:	0,00000490	SwapBuffers:	0,00027812	End:	0,00000162		74	16,3146	0,0141	0,0049	0,2781	0,0016
75	Clear:	0,01631490	View:	0,00001385	Draw:	0,00000499	SwapBuffers:	0,00028478	End:	0,00000147		75	16,3149	0,0139	0,0050	0,2848	0,0015
76	Clear:	0,01620910	View:	0,00001256	Draw:	0,00000473	SwapBuffers:	0,00033864	End:	0,00000168		76	16,2091	0,0126	0,0047	0,3386	0,0017
77	Clear:	0,01639360	View:	0,00000478	Draw:	0,00001424	SwapBuffers:	0,00032190	End:	0,00000167		77	16,3936	0,0048	0,0142	0,3219	0,0017
78	Clear:	0,01633640	View:	0,00000366	Draw:	0,00000458	SwapBuffers:	0,00033353	End:	0,00000151		78	16,3364	0,0037	0,0046	0,3335	0,0015
79	Clear:	0,01623010	View:	0,00001646	Draw:	0,00000416	SwapBuffers:	0,00025744	End:	0,00001104		79	16,2301	0,0165	0,0042	0,2574	0,0110
80	Clear:	0,01634300	View:	0,00001599	Draw:	0,00000500	SwapBuffers:	0,00038590	End:	0,00000156		80	16,3430	0,0160	0,0050	0,3859	0,0016
81	Clear:	0,01621830	View:	0,00001331	Draw:	0,00000468	SwapBuffers:	0,00030584	End:	0,00000134		81	16,2183	0,0133	0,0047	0,3058	0,0013
82	Clear:	0,01626360	View:	0,00000451	Draw:	0,00000499	SwapBuffers:	0,00023847	End:	0,00000114		82	16,2636	0,0045	0,0050	0,2385	0,0011
83	Clear:	0,01643540	View:	0,00000528	Draw:	0,00001385	SwapBuffers:	0,00035208	End:	0,00000185		83	16,4354	0,0053	0,0138	0,3521	0,0018
84	Clear:	0,01622060	View:	0,00000572	Draw:	0,00000718	SwapBuffers:	0,00034371	End:	0,00000215		84	16,2206	0,0057	0,0072	0,3437	0,0021
85	Clear:	0,01632390	View:	0,00000697	Draw:	0,00001493	SwapBuffers:	0,00034818	End:	0,00000170		85	16,3239	0,0070	0,0149	0,3482	0,0017
86	Clear:	0,01620380	View:	0,00000628	Draw:	0,00001510	SwapBuffers:	0,00037569	End:	0,00000154		86	16,2038	0,0063	0,0151	0,3757	0,0015
87	Clear:	0,01619020	View:	0,00001571	Draw:	0,00000576	SwapBuffers:	0,00023772	End:	0,00000129		87	16,1902	0,0157	0,0058	0,2377	0,0013
88	Clear:	0,01635780	View:	0,00000371	Draw:	0,00000430	SwapBuffers:	0,00035992	End:	0,00000158		88	16,3578	0,0037	0,0043	0,3599	0,0016
89	Clear:	0,01628070	View:	0,00001577	Draw:	0,00001473	SwapBuffers:	0,00029018	End:	0,00000165		89	16,2807	0,0158	0,0147	0,2902	0,0017
90	Clear:	0,01629720	View:	0,00001400	Draw:	0,00000408	SwapBuffers:	0,00027685	End:	0,00000145		90	16,2972	0,0140	0,0041	0,2769	0,0014
91	Clear:	0,01632360	View:	0,00001886	Draw:	0,00000388	SwapBuffers:	0,00028641	End:	0,00000144		91	16,3236	0,0189	0,0039	0,2864	0,0014
92	Clear:	0,01626870	View:	0,00001891	Draw:	0,00001463	SwapBuffers:	0,00024357	End:	0,00000125		92	16,2687	0,0189	0,0146	0,2436	0,0013
93	Clear:	0,01641010	View:	0,00000388	Draw:	0,00000459	SwapBuffers:	0,00027579	End:	0,00000101		93	16,4101	0,0039	0,0046	0,2758	0,0010
94	Clear:	0,01629070	View:	0,00000420	Draw:	0,00000470	SwapBuffers:	0,00032382	End:	0,00001114		94	16,2907	0,0042	0,0047	0,3238	0,0111
95	Clear:	0,01632410	View:	0,00001820	Draw:	0,00001378	SwapBuffers:	0,00044993	End:	0,00000188		95	16,3241	0,0182	0,0138	0,4499	0,0019
96	Clear:	0,01618410	View:	0,00000406	Draw:	0,00001494	SwapBuffers:	0,00033009	End:	0,00000152		96	16,1841	0,0041	0,0149	0,3301	0,0015
97	Clear:	0,01625330	View:	0,00001290	Draw:	0,00000503	SwapBuffers:	0,00027151	End:	0,00000158		97	16,2533	0,0129	0,0050	0,2715	0,0016
98	Clear:	0,01634760	View:	0,00000509	Draw:	0,00001486	SwapBuffers:	0,00021686	End:	0,00000152		98	16,3476	0,0051	0,0149	0,2169	0,0015
99	Clear:	0,01635810	View:	0,00000383	Draw:	0,00000509	SwapBuffers:	0,00036130	End:	0,00000142		99	16,3581	0,0038	0,0051	0,3613	0,0014
100	Clear:	0,01621000	View:	0,00000393	Draw:	0,00000498	SwapBuffers:	0,00031549	End:	0,00000152		100	16,2100	0,0039	0,0050	0,3155	0,0015
101	Clear:	0,01638810	View:	0,00000470	Draw:	0,00001380	SwapBuffers:	0,00034369	End:	0,00001079		101	16,3881	0,0047	0,0138	0,3437	0,0108
102	Clear:	0,01626450	View:	0,00000394	Draw:	0,00001719	SwapBuffers:	0,00036111	End:	0,00000291		102	16,2645	0,0039	0,0172	0,3611	0,0029
103	Clear:	0,01622170	View:	0,00000365	Draw:	0,00000434	SwapBuffers:	0,00035612	End:	0,00000162		103	16,2217	0,0037	0,0043	0,3561	0,0016
104	Clear:	0,01628370	View:	0,00000468	Draw:	0,00000523	SwapBuffers:	0,00024212	End:	0,00001083		104	16,2837	0,0047	0,0052	0,2421	0,0108
105	Clear:	0,01627760	View:	0,00000406	Draw:	0,00000544	SwapBuffers:	0,00026287	End:	0,00000165		105	16,2776	0,0041	0,0054	0,2629	0,0017
106	Clear:	0,01640640	View:	0,00001457	Draw:	0,00000558	SwapBuffers:	0,00037826	End:	0,00000202		106	16,4064	0,0146	0,0056	0,3783	0,0020
107	Clear:	0,01623960	View:	0,00000504	Draw:	0,00001666	SwapBuffers:	0,00036884	End:	0,00001220		107	16,2396	0,0050	0,0167	0,3688	0,0122
